id,parameter_set_id,source,qualifier,amount,units
30107,737,Incentive,,30.0000,$/horsepower
30108,738,Incentive,,30.0000,$/horsepower
30109,746,Incentive,min,50.0000,$/Unit
30110,746,Incentive,max,500.0000,$
30111,747,Incentive,min,500.0000,$/Unit
30112,747,Incentive,,700.0000,$/Unit
30113,748,Incentive,min,300.0000,$/Unit
30114,748,Incentive,max,800.0000,$
30115,749,Incentive,,25.0000,$/Unit
30116,750,Incentive,,20.0000,$/Unit
30117,751,Incentive,min,25.0000,$/Unit
30118,751,Incentive,max,400.0000,$
30119,752,Incentive,min,25.0000,$/Unit
30120,752,Incentive,max,50.0000,$
30121,753,Incentive,min,50.0000,$/Unit
30122,753,Incentive,max,100.0000,$
30123,754,Incentive,,15.0000,$/Unit
30124,755,Incentive,min,200.0000,$/Unit
30125,755,Incentive,max,400.0000,$
30126,756,Incentive,,30.0000,$/Unit
30127,757,Incentive,max,5.0000,$
30128,712,Incentive,min,50.0000,$/Unit
30129,712,Incentive,max,100.0000,$
30130,713,Incentive,,15.0000,$/Unit
30131,714,Incentive,min,25.0000,$/Unit
30132,714,Incentive,max,50.0000,$
30133,715,Incentive,min,50.0000,$/Unit
30134,715,Incentive,max,500.0000,$
30135,716,Incentive,,75.0000,$/Unit
30136,717,Incentive,min,150.0000,$/Unit
30137,717,Incentive,max,450.0000,$
30138,718,Incentive,,25.0000,$/Unit
30139,719,Incentive,max,7.0000,$
30140,720,Incentive,,20.0000,$/Unit
30141,721,Incentive,max,600.0000,$
30142,722,Incentive,,30.0000,$/horsepower
30143,703,Incentive,max,100.0000,$
30144,704,Incentive,,15.0000,$/Unit
30145,705,Incentive,min,25.0000,$/Unit
30146,705,Incentive,max,50.0000,$
30147,706,Incentive,,50.0000,$/Unit
30148,707,Incentive,min,150.0000,$/Unit
30149,707,Incentive,max,450.0000,$
30150,708,Incentive,,10.0000,$/bulb
30151,709,Incentive,,50.0000,%
30152,710,Incentive,,25.0000,$/Unit
30153,711,Incentive,,20.0000,$/Unit
30775,2172,System,max,10.0000,MW
30776,2172,Incentive,,0.1000,"$/kWh (20 years)"
31031,2625,Incentive,,80.0000,$/Unit
31032,2583,Incentive,,3.0000,"$/square foot"
31033,2584,Incentive,max,70.0000,"% of cost"
31034,2585,Incentive,max,50.0000,"% of cost"
31035,2573,Incentive,max,100.0000,"% of cost"
31561,2143,Incentive,,1000.0000,$/Unit
31563,171,Incentive,,25.0000,%
31564,171,Incentive,max,25000.0000,$
31565,172,Incentive,max,2500.0000,$
31566,172,Incentive,,25.0000,%
31567,3771,Incentive,,25.0000,%
31568,3771,Incentive,max,5000.0000,$
31569,5181,Incentive,min,0.1300,"$/kWh (10 years)"
31570,5181,System,max,40.0000,kW-DC
31571,5182,System,max,40.0000,kW-DC
31572,5182,Incentive,min,0.1500,"$/kWh (10 years)"
